"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 03- 01","28,750","26,600","29,700","25,900","89.65M","8.49%"
"2013- 02- 01","26,500","24,250","26,950","23,600","67.26M","8.61%"
"2013- 01- 01","24,400","26,150","27,300","23,800","105.92M","-5.24%"
"2012- 12- 01","25,750","24,300","27,100","24,200","79.76M","5.53%"
"2012- 11- 01","24,400","24,950","26,700","24,400","107.79M","-1.81%"
"2012- 10- 01","24,850","22,950","25,000","22,100","89.35M","9.23%"
"2012- 09- 01","22,750","21,200","24,650","20,550","113.51M","7.31%"
"2012- 08- 01","21,200","21,900","23,350","20,850","120.81M","-2.30%"
"2012- 07- 01","21,700","24,300","24,650","20,100","128.39M","-9.01%"
"2012- 06- 01","23,850","23,050","25,100","21,350","113.82M","3.25%"
"2012- 05- 01","23,100","28,300","28,900","21,800","154.56M","-17.65%"
"2012- 04- 01","28,050","29,150","30,400","26,850","103.87M","-4.10%"
"2012- 03- 01","29,250","30,350","30,950","28,700","104.42M","-3.15%"
"2012- 02- 01","30,200","26,850","30,750","25,200","184.79M","12.48%"
"2012- 01- 01","26,850","22,700","28,000","22,600","146.24M","22.32%"
"2011- 12- 01","21,950","23,950","24,050","19,750","125.95M","-4.36%"
"2011- 11- 01","22,950","22,500","24,950","20,650","218.64M","0.44%"
"2011- 10- 01","22,850","20,000","24,450","19,850","173.49M","7.03%"
"2011- 09- 01","21,350","19,300","22,300","16,550","276.90M","11.78%"
"2011- 08- 01","19,100","24,700","25,950","15,500","374.08M","-21.24%"
"2011- 07- 01","24,250","25,600","28,150","22,900","222.86M","-3.19%"
"2011- 06- 01","25,050","30,100","30,100","24,100","234.64M","-16.78%"
"2011- 05- 01","30,100","33,600","35,200","29,050","150.71M","-10.95%"
"2011- 04- 01","33,800","31,350","37,400","30,550","209.18M","7.99%"
"2011- 03- 01","31,300","27,900","31,950","27,150","220.54M","10.41%"
"2011- 02- 01","28,350","29,800","30,700","26,600","124.95M","-4.38%"
"2011- 01- 01","29,650","25,000","30,200","24,800","230.28M","23.54%"
"2010- 12- 01","24,000","23,550","25,150","22,900","165.04M","2.13%"
"2010- 11- 01","23,500","23,200","26,000","21,750","249.36M","1.51%"
"2010- 10- 01","23,150","22,100","24,400","21,900","224.70M","4.51%"
"2010- 09- 01","22,150","21,250","22,650","20,100","228.76M","4.98%"
"2010- 08- 01","21,100","22,550","23,250","20,200","229.89M","-6.22%"
"2010- 07- 01","22,500","25,100","26,250","22,150","275.83M","-10.18%"
"2010- 06- 01","25,050","25,050","28,750","24,400","219.15M","-0.40%"
"2010- 05- 01","25,150","28,150","28,300","22,600","226.62M","-11.44%"
"2010- 04- 01","28,400","27,050","29,400","26,500","191.30M","6.37%"
"2010- 03- 01","26,700","21,500","27,100","21,200","176.28M","27.14%"
"2010- 02- 01","21,000","22,200","23,800","20,600","152.31M","-7.69%"
"2010- 01- 01","22,750","23,350","26,700","22,200","191.87M","-1.73%"
"2009- 12- 01","23,150","18,550","23,400","17,800","136.07M","25.47%"
"2009- 11- 01","18,450","17,700","21,200","17,650","173.13M","2.22%"
"2009- 10- 01","18,050","20,100","21,300","17,100","182.17M","-8.84%"
"2009- 09- 01","19,800","21,850","22,600","17,600","281.68M","-9.79%"
"2009- 08- 01","21,950","17,600","22,250","17,000","256.64M","24.72%"
"2009- 07- 01","17,600","13,650","18,600","13,600","321.46M","28.94%"
"2009- 06- 01","13,650","12,800","14,250","12,550","274.87M","5.81%"
"2009- 05- 01","12,900","14,650","15,650","11,200","408.92M","-10.42%"
"2009- 04- 01","14,400","12,200","16,900","11,700","694.27M","16.60%"
"2009- 03- 01","12,350","8,500","13,250","7,890","496.16M","42.94%"
"2009- 02- 01","8,640","8,940","10,350","7,860","441.82M","-3.79%"
"2009- 01- 01","8,980","6,830","9,040","6,430","469.59M","34.03%"
"2008- 12- 01","6,700","7,510","8,930","6,060","517.96M","-9.58%"
"2008- 11- 01","7,410","11,000","11,800","5,770","353.12M","-31.39%"
"2008- 10- 01","10,800","19,650","20,050","8,000","209.83M","-44.19%"
"2008- 09- 01","19,350","18,900","21,200","16,750","136.07M","-0.26%"
"2008- 08- 01","19,400","21,350","24,200","19,200","80.02M","-10.39%"
"2008- 07- 01","21,650","25,100","25,250","21,100","111.88M","-13.40%"
"2008- 06- 01","25,000","30,900","31,950","24,900","73.94M","-19.35%"
"2008- 05- 01","31,000","27,650","31,300","27,400","84.48M","15.67%"
"2008- 04- 01","26,800","27,650","30,200","26,400","115.97M","-3.77%"
"2008- 03- 01","27,850","23,850","28,000","22,750","90.30M","13.44%"
"2008- 02- 01","24,550","26,050","27,200","23,100","72.46M","-5.58%"
"2008- 01- 01","26,000","26,000","26,650","21,800","112.11M","0.19%"
"2007- 12- 01","25,950","25,750","28,150","23,500","79.48M","0.19%"
"2007- 11- 01","25,900","25,550","25,900","22,100","101.75M","3.60%"
"2007- 10- 01","25,000","31,450","31,700","22,600","159.14M","-20.13%"
"2007- 09- 01","31,300","33,900","33,900","28,650","108.58M","-7.26%"
"2007- 08- 01","33,750","36,900","39,500","31,550","128.86M","-10.24%"
"2007- 07- 01","37,600","33,000","40,000","32,550","134.88M","12.74%"
"2007- 06- 01","33,350","29,900","35,350","29,750","166.41M","16.00%"
"2007- 05- 01","28,750","32,450","33,550","27,700","132.80M","-10.30%"
"2007- 04- 01","32,050","32,750","34,650","31,300","121.52M","-1.08%"
"2007- 03- 01","32,400","30,850","33,300","30,850","92.45M","4.01%"
"2007- 02- 01","31,150","31,200","33,100","30,250","106.48M","-0.32%"
"2007- 01- 01","31,250","36,900","37,700","31,000","114.25M","-14.27%"
"2006- 12- 01","36,450","35,450","37,500","34,400","63.43M","3.26%"
"2006- 11- 01","35,300","34,300","36,350","33,050","85.37M","3.22%"
"2006- 10- 01","34,200","37,450","38,150","33,100","113.91M","-8.31%"
"2006- 09- 01","37,300","36,950","40,300","35,700","119.15M","1.36%"
"2006- 08- 01","36,800","32,600","37,150","32,150","109.34M","13.23%"
"2006- 07- 01","32,500","31,300","32,950","29,900","92.57M","5.69%"
"2006- 06- 01","30,750","31,800","32,300","26,150","166.05M","-3.91%"
"2006- 05- 01","32,000","32,600","34,850","30,100","125.17M","-2.88%"
"2006- 04- 01","32,950","29,300","34,550","29,150","137.59M","14.01%"
"2006- 03- 01","28,900","33,750","33,850","26,200","182.11M","-13.08%"
"2006- 02- 01","33,250","36,850","37,250","28,950","223.53M","-10.86%"
"2006- 01- 01","37,300","36,100","39,050","29,600","315.05M","5.67%"
"2005- 12- 01","35,300","21,900","35,300","21,900","316.16M","61.19%"
"2005- 11- 01","21,900","19,200","24,800","19,200","261.34M","14.96%"
"2005- 10- 01","19,050","23,100","24,150","19,000","221.62M","-17.17%"
"2005- 09- 01","23,000","21,850","25,450","21,150","185.98M","7.48%"
"2005- 08- 01","21,400","23,900","25,550","20,050","178.48M","-10.46%"
"2005- 07- 01","23,900","16,900","24,550","16,700","197.50M","40.59%"
"2005- 06- 01","17,000","15,750","17,750","15,100","104.64M","6.92%"
"2005- 05- 01","15,900","12,250","15,950","12,050","110.79M","31.40%"
"2005- 04- 01","12,100","13,000","14,200","11,950","92.81M","-7.28%"
"2005- 03- 01","13,050","15,150","15,300","12,500","137.10M","-13.29%"
"2005- 02- 01","15,050","13,050","16,350","12,650","174.64M","15.77%"
"2005- 01- 01","13,000","11,800","13,250","11,350","152.87M","11.59%"
"2004- 12- 01","11,650","10,250","11,950","10,100","134.77M","12.56%"
"2004- 11- 01","10,350","12,800","13,000","10,050","187.82M","-18.50%"
"2004- 10- 01","12,700","10,600","15,150","10,600","286.63M","20.95%"
"2004- 09- 01","10,500","10,450","11,600","9,710","122.98M","0.48%"
"2004- 08- 01","10,450","8,910","10,750","8,270","156.11M","16.11%"
"2004- 07- 01","9,000","12,800","12,950","8,820","166.26M","-28.85%"
"2004- 06- 01","12,650","11,300","13,100","10,300","258.29M","12.44%"
"2004- 05- 01","11,250","11,850","13,850","9,100","354.56M","-5.46%"
"2004- 04- 01","11,900","12,450","14,300","10,450","240.42M","-2.86%"
"2004- 03- 01","12,250","9,170","12,350","9,150","325.95M","36.57%"
"2004- 02- 01","8,970","8,820","10,150","7,960","242.41M","0.22%"
"2004- 01- 01","8,950","5,740","9,320","5,560","291.86M","59.82%"
"2003- 12- 01","5,600","6,700","7,040","5,020","119.95M","-15.54%"
"2003- 11- 01","6,630","7,720","8,070","6,060","156.13M","-11.95%"
"2003- 10- 01","7,530","6,530","8,170","6,530","309.33M","12.22%"
"2003- 09- 01","6,710","8,100","9,120","6,520","297.16M","-15.81%"
